question,reponse
De quoi est accusé Du Bosc par les jésuites ?,"aurait parlé, en termes peu mesurés, de l’autorité royale"
Que pense Du Bosc du droit divin ?,le roi était l’image de Dieu sur terre
Que doivent les français au roi selon Du Bosc ?,obéissance passive
Qui s'attire l'antipathie des Jésuites ?,Du Bosc
A qui demande-t-on de monter à Paris ?,Du Bosc
Que pense l'église de Caen de Du Bosc ?,fière
Pourquoi Du Bosc refuse de quitter Caen ?,ne désirant pas se séparer d’un troupeau qu’il affectionnait
Quelle organisation souhaite que Du Bosc monte à Paris ?,consistoire de Charenton | le consistoire de Charenton
Quelle est la religion de Massanes ?,protestante
A quel âge Pierre Du Bosc devient pasteur renommé ?,vingt-troisième année
Quelle est la profession de Brochart ?,pasteurs
Où travaille Du Bosc ?,Caen
Quelle activité Du Bosc effectuail-t-il pour le consistoire ?,discours d’apparat à adresser à un grand personnage
Quand Du Bosc devient-il pasteur à Caen ?,le 15 novembre 1645
c'est quoi la différenciation en cellules de merkel?,arrivée des terminaisons nerveuses (amyéliniques participant à la sensibilité épicritique) cutanées et se poursuit jusqu'à la deuxième semaine post-natale chez les rongeurs
qui a les cellules de merkel?,chez l'embryon
où se trouve la couche basale?,ne sont retrouvées au niveau des couches supérieures qu'en cas de dénervation
où se cocalisent les cellules de merkel?,au niveau de la couche basale épidermique
c'est quoi les cellules de Merkel?,proviennent de précurseurs épidermiques issus de la couche basale
Qui s'occupe de tuer le couple ?,Bardotto et Gesualdo
Qui est l'épouse ?,Maria d'Avalos
Qui est Laura ?,entremetteuse
Où sont les serviteurs de Bardotto ?,antichambre
Quelles sont les armes en possession de Gesualdo ?,"une épée bien affûtée, une dague, un poignard et une petite arquebuse | épée bien affûtée, une dague, un poignard et une petite arquebuse"
Qu'a eu pour conséquence la mort de la femme de Carlo ?,"L'issue tragique de ses noces est à l'origine de la célébrité de Gesualdo, devenu le « compositeur meurtrier » de l'histoire de la musique"
Comment l'union de Maria et Carlo a pris fin ?,"par l'assassinat de Maria et de son amant Fabrizio Carafa, duc d'Andria"
Comment s'appelle le fils de Carlo et Maria ?,Emmanuele
De quel sexe a été le premier enfant de Carlo et Maria ?,fils
Comment s'appelle la conjointe de Carlo Gesualdo ?,Maria
Qu'a eu pour conséquence la mort du frère de Carlo Gesualdo ?,"Cet événement fait de Carlo, âgé de dix-huit ans, l'unique héritier des titres et domaines de son père"
Quel age avait le frère de Carlo Gesualdo à sa mort ?,vingt et un ans
Comment s'appelait le frère de Carlo Gesualdo ?,Luigi
Comment est mort le frère de Carlo Gesualdo ?,chute de cheval et meurt des suites de cet accident
Quand est mort le frère de Carlo Gesualdo ?,En 1585
Carlo Gesualdo fut-il destiné à une carrière ecclésiastique ?,"Denis Morrier observe qu'« il n'en fut rien. Selon toute vraisemblance, Carlo passa sa jeunesse à étudier"
Qui sont les parents de Carlo Gesualdo?,Fabrizio Gesualdo et de Geronima Borromeo
Qui est parmi les grands oncles de Carlo Gesualdo ?,le pape Pie IV
Qui est parmi ses oncles ?,les cardinaux Alfonso Gesualdo et saint Charles Borromée
Dans quel type de famille a grandi Carlo Gesualdo ?,au sein d'une famille aristocratique
Que fait Bardotto ?,apporta l'eau à son maître et l'aida à s'habiller
Quel activité a choisi le maitre ?,chasser
Quand s'est déroulé le meurtre ?,sixième heure de la nuit
Quelle est la réaction de Bardotto ?,Étonné
Que constate le serviteur ?,le petit porche de la porte donnant sur la rue était ouvert
Est-ce que l'oeuvre de Gesualdo inspire ?,Elle inspire également de nombreux compositeurs
Comment la majorité des compositeurs reconnaissent Gesualdo ?,un maître doué d'une personnalité ambiguë et fascinante
Dans quel domaine musicale exerce Gesualdo ?,dans le domaine harmonique en particulier
En quelle année les oeuvres de Gesualdo ont été redécouvertes ?,À partir des années 1950
Quels oeuvres de Guesaldo ont été rédécouvertes ?,"ses partitions, interprétées en concert ou enregistrées sur disques"
Pourquoi Carlo Gesualdo a assassiné sa première épouse ?,surpris tous deux en situation d'adultère
Qu'a fais Carlo Guesaldo pour défrayé la chronique ?,assassinant sa première épouse et en faisant assassiner l'amant de celle-ci
Quand Carlo Guesualdo a défrayé la chronique ?,1590
Qui est prince de Venosa ?,Carlo Gesualdo
Qui est Carlo Gusualdo ?,compositeur et membre de la noblesse italienne de la fin de la Renaissance
Pour qui Gesualdo cherche-t-il à arranger un mariage ?,fils Emanuele | son fils Emanuele
A cause de qui Emanuele se voit-il privé de sa maman ?,son père
Auprès de qui Gesualdo cherche-t-il une épouse pour son fils ?,son beau-frère
Où Gesualdo chercha-t-il une épouse pour son fils ?,hors d'Italie
Comment s'appelle l'enfant né du mariage du fils de Gesulado et de sa femme ?,Carlo
De qui Le Caravage et Christopher Marlowe sont-ils contemporains ?,Carlo Gesualdo
Comment les 3 personnages sont-ils décédés ?,dans d'étranges circonstances
Comment est décrite la période de la Renaissance ?,"entre traditions figées, guerres de religion, renouveau artistique et révolution copernicienne | traditions figées, guerres de religion, renouveau artistique et révolution copernicienne"
En quelle année est décédé Christopher Marlowe ?,1593
En quelle année est né Le Caravage ?,1571
Qui est le signataire des lettres de dédicaes des deux derniers livres ?,Don Pietro Cappuccio
De quand date les lettres de dédicaces des deux derniers livres ?,juin 1611
Que revendique Gesualdo ?,qualités musicales
Comment certains compositeurs supplèe à la apuvreté de leur génie,par un art frauduleux
Comment fraude certains compositeurs ?,en s'attribuant à eux-mêmes de nombreux beaux passages des œuvres de Votre Excellence
Comment s'appelle la oeuvre de Gesualdo ?,Ne reminiscaris Domine
Quand est parue la pre?mière oeuvre connue de Gesualdo,1585
Qui est maître de la cathédrale de Bari en 1585 ?,Stefano Felis
Qui est le prince de Venosa ?,Don Carlo Gesualdo
Comment est parue le premiermottet ?,de manière anonyme
Quelle était la réputation du lien que Gesualdo entretenait avec la musique?,manquait totalement de ce détachement aristocratique
"Que voulait dire le mot ""spezzatura"" pour la noblesse de l'époque?",voulait qu'une personne de haute condition sût beaucoup sans jamais le montrer
Jusqu'a quelle époque remonte l'usage d ela sprezzatura?,antiquité grecque et latine | à l'antiquité grecque et latine
A quelle personne Saint Simon prête la qualité de sprezzatura?,Madame de Sévigné
La spezzatura est-elle cantonnée seulement à l'Italie?,Cette pratique n'a d'ailleurs rien de spécifiquement italien
Quelle est la profession de Carlo Gesualdo ?,compositeur
Quand les parents de Carlo Gesualdo se sont-ils epousés ?,13 février 1561
De qui alphonso Gesualdo est il l'oncle ?,compositeur
De qui Pie IV est il l'oncle ?,la mère du compositeur
Qui est Pie IV ?,pape
Qu'est-ce qui sont incorporées dans l'ouvrage de Robletti ?,All'ombra degli amori et Come vivi cor mio
Quels sont les deux madrigaux à cinq voix de l'ouvrage collectif publié par Guagano et Nucci ?,T'amo mia vita et La mia cara vita
A quelle date a été publiée la production rédigée collégialement ?,Theatro de madrigali a cinque voci
Quelle est la particuliarité de l'oeuvre publiée en 1616 ?,canzonetta à cinq voix
Quel est le titre du livre publié à Rome ?,Huitième livre de madrigaux de Pomponio Nenna
Quel est le titre de noblesse de Charles Gesualdo ?,"Charles Gesualdo, prince de Venose"
D'où Charles Gesualdo est marquis ?,"Lamo, Rotondo et San Stefano | de Lamo, Rotondo et San Stefano"
À quelle maison est apparenté Carlo Gesualdo ?,à la maison d'Este
À qui est alliée la maison d'Este ?,Carlo Gesualdo | duché de Ferrare
Quelle est la profession de Carlo Gesualdo ?,musicien
Quelle est la vision de l'amour propre à la noblesse ?,"protestations d'attachement éternel, serments non tenus, engagements réciproques, alliances familiales de même rang, ventes et achats de terrains, marchandages continuels et contrats "
De quel corps fait partie le cardinal ?,membres du clergé 
Quels types de personnes constituent une noblesse ?,la cour où il était tenu de paraître et les membres de sa famille occupant de hautes fonctions auprès du pape
Qu'écrivait Guesaldo dans ses lettres ?,"Dans leur correspondance, officielle ou privée, ce ne sont que protestations d'attachement éternel, serments non tenus, engagements réciproques"
Comment sait-on qu'Alfonso Guesaldo est important ?,illustrissime cardinal 
Quel est le but de la Convention de Carthagène ?,"protéger, développer et gérer les eaux communes, de façon individuelle ou conjointe"
Combien de contractants a la Convention de Carthagène ?,21 États
Quelle est la date d'entrée en vigueur de la Convention de Carthagène ?,11 octobre 1986 | le 11 octobre 1986
Quelle est la date d'adoption de la Convention de Carthagène ?,le 24 mars 1983
Quel est le surnom de la Convention pour la Protection et le Développement de l'Environnement marin de la région de la Grande Caraïbe ?,Convention de Carthagène
Où est situé la façade caraïbe du continent américain ?,étend de l'Amérique centrale aux plateau des Guyanes en passant par les plaines côtières de Colombie et du Venezuela
Quelles sont les Iles Lucayes ?,Bahamas et les îles Turques-et-Caïques
Les îles Lucayes sont situés dans quel arc ?,arc antillais
Avec quoi les Caraïbes sont-elles souvent confondues ?,les Antilles
Que comprend les Antilles ?,les Grandes Antilles et les Petites Antilles
Combien y a-t-il d'espèces d'amphibien sur l'île de Cuba ?,170 espèces d'amphibiens
Combien y a-t-il d'espèces de mammifères sur l'île de Cuba ?,90 | 90 espèces de mammifères
Combien d'espèces d'oiseaux y a-t-il sur l'île de Cuba?,environ 600 espèces d'oiseaux
Combien d'espèces endémiques y a-t-il sur l'île de Cuba ?,6500 | plus de 6500 espèces endémiques
Combien y a-t-il d'espèces sur l'île de Cuba ?,près de 13 000 espèces
"En début d'année 2005, France Info est classé à quelle position dans le top 10 des radios française ?",elle se classe quatrième radio de France
Comment s'appelle le baromètre pour Le Point et La Croix ?,baromètre Sofres
Comment a été jugée la radio d'information par le baromètre Sofres ?,parmi l'une des trois radios les plus crédibles en 2004
Quel pourcentage d'audience à été cumulée sur la période citée ?,"9,7 % d'audience"
"A combien d'auditeur représente les 9,7% d'audience ?","environ 4,9 millions d'auditeurs"
Qui était le mari de Benazir Bhutto?,Asif Ali Zardari
Quel parti a gagné les élections législatives de 2008 au Pakistan?,PPP
Qui était le second premier ministre de Asif Ali Zardari?,Raja Pervez Ashraf
Qui était Premier ministre du Pakistan avant Raja Pervez Ashraf?,Youssouf Raza Gilani
Qui était le premier Premier ministre de Asif Ali Zardari?,Youssouf Raza Gilani
Qui organise l'insurrection islamise dans le nord ouest du Pakistan ?,talibans
En quelle année Musharraf devient président ?,2001
Que fait voter Musharraf en 2003 ?,des amendements à la Constitution renforçant son pouvoir
En quelle année est attaquée la Mosquée rouge ?,2007
Que fait voter Musharraf en 2006 ?,la loi de protection des femmes
Qui a été élu Premier ministre du Pakistan en 1990?,Nawaz Sharif
Pourquoi Nawaz Sharif a-t-il démissioné en 1993?,en conflit avec le président
Qui a été élu Premier ministre du Pakistan en 1993?,Benazir Bhutto
Qui a destitué Benazir Bhutto en 1996?,Farooq Leghari
Qui était le Premier ministre de Farooq Leghari?,Benazir Bhutto
Combien de chrétiens vivent au Pakistan ?,Près de 3 millions
Que rencontrent les chrétiens ?,de nombreuses discriminations
Où vivent les chrétiens ?,dans des bidonvilles
De quoi sont victimes les chrétiens ?,"conversions forcées | de conversions forcées, notamment envers les femmes"
Quelles postes sont difficiles d'accès pour les chrétiens ?,"aux hauts postes exécutifs, administratifs et politiques | hauts postes exécutifs, administratifs et politiques"
Quelle conséquence a eu la partition des Indes ?,La partition des Indes en 1947 a provoqué des massacres des minorités religieuses
Combien de femme subissent des conversions ou des mariages forcés chaque année ?,300
Quand a eu lieu la partition des Indes ?,1947
Combien d'hindous ont émigré ?,Plusieurs millions
Quelles violences ont subis les Hindous avant d'émigrer ?,des campagnes d'extermination physique et culturelle
Pourquoi le Pakistan a-t-il été créé ?,le pays ayant été créé pour les musulmans du sous-continent indien
Que dit la loi sur le blasphème ?,Muhammad Zia-ul-Haq | loi sur le blasphème qui prévoit la peine de mort pour les personnes qui auraient dénigré Mahomet notamment
Que fait Muhammad Zia-ul-Haq ?,lance une politique d'islamisation brutale
Quelle est la religion du Pakistan ?,L'islam
Quand a été instauré la loi su la protection des femmes ?,2006 | En 2006
Qu'est ce qui a réduit la marge de manoeuvre des opposant politiques au Pakistan à partir de 1979?,un régime autoritaire où la loi martiale est imposée | Le général instaure un régime autoritaire où la loi martiale est imposée jusqu'en 1985
Qui meurt dans un crash aérien le 17 août 1988?,le chef de l'armée Zia-ul-Haq
Quelles sont les conséquences de la politique d'islamisation de Zia?,Les ordonnances Hudood mettent en place la charia et le blasphème est interdit en 1986
Quelles sont les conséquences du régime autoritaire pour Benazir Bhutto?,"emprisonnés | les opposants politiques emprisonnés, dont Benazir Bhutto"
Quand la loi martiale a-t-elle été abrogée au Pakistan?,la loi martiale est imposée jusqu'en 1985
Est-ce que les origins du Pakistan sont liées à l;Inde ?,Le Pakistan a un passé et une histoire culturelle très liés à l'Inde actuelle
Est-ce que Pakistan et l'Inde ont une histoire commune ?,très liés | Pakistan a un passé et une histoire culturelle très liés à l'Inde actuelle | les deux pays sont les héritiers de la même histoire commune
Quels sont les empires qui ont administrée dans une époque l'actuelle région du Pakistan ?,"Aryens, Perses, Ghaznavides, Seldjouks, Arabes, Rajputs, Moghols"
Quel endroit est particulier et important de la civilisation de la vallée de l'Indus ?,Le site de Mohenjo-daro
Quel site peut etre identifié de l'age du bronze en Pakistan ?,Mohenjo-daro | Le site de Mohenjo-daro
Quelle longueur totale a le réseau de transports pakistanai ?,8 775 kilomètres
Quelles destinations dessert le réseau de transports pakistanais ?,toutes les principales villes pakistanaises
Est-ce qu'il y a des accidents dans le réseau de transports pakistanais ?,les catastrophes ferroviaires sont fréquentes
Quand était la plus grave catastrophe ferroviaire en Pakistan ?,le 4 janvier 1990 | En 2005 et 2007
Quelle est la différence entre la durée synodique de la lune calculée par Kidinnu et la valeur actuelle ?,environ une demi-seconde
Quelle est la durée moyenne entre deux nouvelles lunes ?,"29,53 jours environ"
Quelle est la durée du mois synodique selon Kidinnu ?,"29 j 12 h 44 min 3,3 s | 29,53 jours environ"
Quelle est la durée moyenne entre de nouvelles lunes au solstice d'hiver ?,"29,84 jours"
Combien de jours séparent deux nouvelles lunes au moment du solstice d'été en moyenne ?,"29,27"
Sous quelles conditions le mois de chaabane est considéré comme ayant 30 jours ?,"si le ciel est nuageux et ne permet pas l'observation visuelle du croissant de lune, le soir du 29e jour de chaabane | si le ciel est nuageux"
Quel est le premier jour de l'année dans le calendrier musulman ?,le premier jour du premier mois de mouharram
Quel mois précède le mois du ramadan dans le calendrier musulman ?,Le mois de chaabane
Quel est le premier mois de l'année dans le calendrier musulman ?,mouharram
Quel mois débute après la fin du mois de chaabane ?,mois de ramadan
"En 2005, dans quel pays a-t-on fêté l'Aïd el-Fitr le 2 novembre ?",en Libye
"En 2005, quel était le jour de la fête de l'Aïd el-Fitr au Maroc ?",vendredi 4 novembre
"En 2005, dans combien de pays a-t-on fêté l'Aïd el-Fitr le 3 novembre ?",30 pays
Quelle fête a-t-on célébrée le 3 novembre 2005 en Tunisie ?,Aïd el-Fitr | l’Aïd el-Fitr
A quelle date du calendrier hégirien correspondait au 3 novembre 2005 dans le calendrier grégorien en Égypte ?,le 1er chawwal 1426
Qu'est-ce qui s'appuie sur l'observation humaine de la lune ?,le calendrier musulman
Sur quoi s'appuie le calendrier musulman ?,l'observation mensuelle de la nouvelle lune à l'œil nu
Qu'est-ce qui n'est pas possible avec le calendrier musulman ?,"de gérer des activités à long terme, de prévoir, de programmer et d'organiser à l'avance tout ce qui doit l'être"
Quelle est la conséquence du fait que chaque communauté procède à ses propres observations du cycle de la lune ?,une panoplie de calendriers
Pourquoi y a-t-il une multitude de calendriers ?,observation mensuelle individuelle de la nouvelle lune | chaque État et communauté musulmane de la planète procède à l'observation mensuelle individuelle de la nouvelle lune
Quelle est l'amplitude des différences de data de début de mois entre les différents pays musulmans ?,d'un jour ou deux | un jour ou deux seulement
Quelle méthode utilisent les musulmans pour déterminer le commencement du mois ?,l'observation à l'œil nu
Quelle méthode n'est pas utilisée par les musulmans pour connaître le début du mois ?,le calcul astronomique
Quel sera le dernier jour de l'année 1442 du calendrier hégirien ?,le 9 août 2021
Qui n'utilise pas le calcul astronomique pour connaître le commencement du mois ?,les musulmans
Que fait de Brissot?,de Brissot s’oppose à la thèse du complot puis condamne les massacres
Combien de journaux s'accomodent des massacres pendant qu'ils ont lieu?,Vingt
Quel est la profession de Gorsas?,journaliste
Qui s'oppose à la thèse du complot?,de Brissot
Qu'est-ce que Louvet décrit dans La sentinelle?,Les dangers que font courir les aristocrates et les traîtres
Dans quel journal Fréron publie-t-il?,L'Orateur du peuple
Quel auteur est plus impitoyable que Marat?,Fréron
A partir de quand les appels de Marat sont-ils repris par la presse?,fin août 1792
Combien de temps est interrompu la publication du journal?,trois semaines
Quel journal est utilisé par Marat pour inciter le peuple à agir?,L’Ami du peuple
Que décrit l'article publié le 3 septembre par le Journal universel?,les horreurs commises dans les territoires occupés par l’envahisseur
Qu'a publié le Journal universel le 2 septembre?,Les Révolutions de Paris dans leur numéro des 25 août et 1er septembre
Quel est le sujet de la lettre?,les sévices que ferait subir l’armée des coalisés aux patriotes
Quand la lettre est-elle parue dans les journaux à Paris?,les 2 et 3 septembre suivants
D'où est venu le Plan des forces coalisées contre la France?,d’Allemagne
Pourquoi le tribunal du 17 août relâche-t-il des suspects?,faute de preuves
Combien de personnes ont été condamnées à mort entre le 17 août et le 26 août?,trois
Où a été organisée la cérémonie en mémoire des morts du 10 août?,aux Tuileries
Quand les portes de Paris ont été fermées?,le 29 août au soir à 22 heures
Quel jour s'est déroulée la cérémonie en mémoire des morts du 10 août?,le 23 août
De quoi sont suspectés les administrateurs du comité de surveillance ?,d'avoir dépouillé leurs victimes
Quelle est la profession de celui qui suspecté les administrateurs du comité de surveillance d'avoir volé les victimes ?,journaliste
Qui pointe du doigt les administrateurs du comité ?,Roch Marcandier
Dans quel ouvrage Roch Marcandier porte-t-il ses accusations contre les administrateurs du comité ?,Les hommes de Proie
Quelle institution est soupçonnée d'abus de position dominante ?,Commune | La Commune
De quoi Panis est il suspecté ?,abusé de ses fonctions comme membre du comité de surveillance | avoir abusé de ses fonctions comme membre du comité de surveillance | d'avoir abusé de ses fonctions comme membre du comité de surveillance
Qui prend l'initiative de sanctionner Panis ?,conseil général de la Commune | le conseil général de la Commune
À qui sont transmis les éléments du dossier ?,au conseil exécutif
Qui transmet les éléments au conseil exécutif ?,le Conseil général
Quell mesure est prise contre Panis dès septembre 1792 ?,un double arrêté
Qui aurait prévenu Danton ?,Alquier
Qui aurait volé les bijoux des prisonniers ?,François Héron
Combien de personnes ont été tuées ce soir là aux écuries de la Reine ?,treize
À quelle fonction ont été affecté les écuries de la Reine ?,maison d'arrêt
Qui a été suspecté du vol des bagages des détenus ?,Claude Fournier
Combien de prisonniers ont échappé au massacre ?,huit
Qui était le maire de Versailles au moment du massacre ?,Hyacinthe Richaud
Qui a tué les 44 prisonniers ?,La foule
Où la foule accroche-t-elle les têtes des prisonniers exécutés ?,sur les grilles du château
Combien de personnes ont été massacrées ?,quarante-quatre
Que seraient-ils parvenus à obtenir suite à une distortion des propos tenus par d'autres individus concernés ?,une indemnité | indemnité
Comment les participants au massacre ont-ils été surnommés ?,septembriseurs
Qu'est ce que les septembriseurs auraient perçu suite à leur participation ?,rétribution
Qui fut l'historien relevant une abondance d'évenements perturbants ?,F. Bluche
Qu'auraient fait les individus placés hiérarchiquement au dessus des perpéteurs de ce massacre ?,rétribution des tueurs | fermer les yeux
Sur la pensée de quel auteur s’appuie Claude Gautier ?,"Claude Gautier, inspiré de Hume"
Comment Michelet explique t il les violences ?,Michelet explique les massacres par le jeu des circonstances
Qu’est ce qui peut créer la crainte dans une société ?,dans
quelle est la cause des violences pour Michelet ?,Michelet explique les massacres par le jeu des circonstances
Quelle peut être la cause des actes barbares commis par une société ?,le jeu des circonstances | une
Qui était une femme d'âge mûr ?,cette cousine des rois de Sardaigne et de France
À quel âge la princesse est-elle devenue veuve ?,19 ans 
La princesse était-elle vieille ?,âge mur | une femme d'âge mur | femme d'âge mur
La princesse a t elle été renvoyée de la cour par Marie Antoinette ?,disgrâce
La princesse était elle de la même famille que Marie Antoinette ?,parente
Moab est-il un désert ?,les plaines désertiques de Moab
Que s'est-il passé entre les montagnes Garizim et Ebal ?,renouvellement de l'alliance par Josué | renouvellement de l'alliance
Où se situe Guilgal ?,à la limite orientale de Jéricho
Qui s'écroule face à l'arche d'alliance ?,Josué
Quelle ville se trouve dans le désert ?,Shittim
Où se trouve la chapelle de l'Arche d'alliance ?,dans un enclos séparé de l'église Sainte-Marie-de-Sion
Qui a désigné le gardien de la chapelle de l'Arche d'alliance ?,son prédécesseur
Quand l'empereur d'Éthiopie a-t-il été tué ?,en 1975
Comment l' empereur d'Éthiopie est il mort ?,assassiné
Comment s'appelle l'église où serait conservée l'Arche d'alliance dans la tradition éthiopienne ?,Sainte-Marie-de-Sion
Qui a sculpté l’arche d’alliance ?,Béséléel
En quel type d’arbre est fabriquée l’arche ?,acacia
Comment s’appelle le couvercle de l’arche d’alliance ?,propitiatoire
Quelle est la largeur du propitiatoire ?,une coudée et demie
Quelle est la largeur de l’arche d’alliance ?,une coudée et demie
Comment est traduit aron en latin ?,arca
Qui met Moïse dans un panier ?,Yokébed
Où se trouve le tabernacle de l’exode ?,Arche d'alliance
Dans quelle langue est écrite la Vulgate ?,latin
Sur quel fleuve est abandonné Moshé ?,Nil
Où la légende est-elle racontée ?,Dans le second livre des Maccabées
Qui est Balaq ?,le roi de Moab
Que font Balaq et Baalam sur le mont Pisga ?,observer le peuple israélite avant le franchissement du Jourdain
Que fait Jérémie après avoir caché l'arche ?,il obstrue l'entrée
Quand l'arche a-t-elle été camouflée ?,VIe siècle avant l'ère chrétienne | au VIe siècle avant l'ère chrétienne
Où se situe l'arche d'alliance sous le règne du roi Jonas ?,à Jérusalem sous le règne du roi Joas mais n'est plus dans le temple de Salomon
Après quel évènement arrête-t-on d'en parler ?,Après sa mise en place dans le sanctuaire
A qui le souverain demande-t-il de ne plus porter l'arche ?,aux lévites
Qu'est ce qu'Edras ?,un livre apocryphe
Qu'est ce qui ne fait pas partie des objets ramenés de Babylone ?,L'arche d'alliance
COmment réagit un cheval entier si une jument se trouve à proximité?,il peut s'emballer en sentant sa présence et tout faire pour aller la rejoindre
Pourquoi castrer un cheval?,adoucir son comportement et le rendre plus facile à maîtriser
De quoi dépend avant tout le caractère?,l'éducation et de l'origine | éducation et de l'origine de chaque cheval | de l'éducation et de l'origine de chaque cheval
Qulles sont les races d'étalon les plus dociles?,les races rustiques et les races de trait
COmment peuvent être les hongres castrés?,caractériels
"A quelle date a été créé le terme ""hongre""?",les années 1100
"que signifie ""hongrer""?",procédure de castration | châtrer les chevaux de monte
Comment traduire hongre en anglais?,gelding
"De quel pays est originaire le terme ""hongre""?",turque
"Que signifie ""hongre"" en vieux norrois?",stérile
Depuis quand la bourse de Brême a-t-elle adopté le programme BIFOS ?,À partir de 1990
Pourquoi la Bourse de Brême a-t-elle diminué le seuil minimal de négociation continue ?,pour rendre les échanges attrayant pour les prêteurs du secteur privé
Pour quel public la Bourse de Brême a-t-elle étendu les heures de négociation ?,les prêteurs du secteur privé | pour les prêteurs du secteur privé
Quel a été l'effet de l'ensemble des mesures prises par la Bourse de Brême ?,reprise significative de l'activité de négociation | une reprise significative de l'activité de négociation
Quelles dispositions ont été prises pour attirer les prêteurs du secteur privé ?,la réduction de la limite inférieure de négociation continue et l'expansion significative des heures de négociation
Où se trouve le restaurant de la Nouvelle Bourse ?,dans le sous-sol
À quelle période architecturale appartient la Nouvelle Bourse ?,Style néo-gothique | néo-gothique
Qu'est-ce qui se trouve au sous-sol de la Nouvelle Bourse ?,un restaurant
Qui a occupé les bureaux de la Nouvelle Bourse ?,la Bürgerschaft de Brême
Qui a décoré l'intérieur de la Nouvelle Bourse ?,"des artistes bien connus de l'époque, y compris les peintres Arthur Fitger et P. Janssen et le sculpteur Diedrich Samuel Kropp | les peintres Arthur Fitger et P. Janssen et le sculpteur Diedrich Samuel Kropp"
Avec le soutien de quelle institution la Guilde publie-t-elle la deuxième Ordonnance ?,Sénat | du Sénat
À quelle époque la situation économique des marchands s'est elle embellie ?,dans les années 1820
Quelle nouvelle fonction la troisième Ordonnance confère-t-elle à la Chambre de Commerce ?,le rôle de surveillance du commerce
Quel texte confère à la Chambre de Commerce une fonction de surveillance du commerce ?,Une 3e Ordonnance
Quand le texte qui donne à la Chambre de Commerce un rôle de surveillance a-t-il été publié ?,1849 | en 1849
Où se situe la salle de négoce de l'Ancienne bourse ?,Au rez-de-chaussée
De quel style architectural est l'Ancienne bourse ?,de style baroque
Quelle pièce a été refaite à la fin du XVIIIeme siècle ?,Le bureau
De quelle époque date la reconstruction du bureau ?,fin du XVIIIe siècle
Quelles étaient les activités principales de l'Ancienne bourse ?,"l'immobilier, les marchandises, et les transactions bancaires"
Quels étaient les principaux centres de commerce de Brême à la fin du Moyen Âge ?,la Bremer Marktplatz et le passage du Liebfrauenkirchhof
Où ont été détruites les habitations pour aménager un marché d'échanges de marchandises ?,à l'extrémité sud du passage de Liebfrauenkirchhof
Combien de maisons ont été détruites pour aménager le marché d'échanges de marchandises ?,28
À quelle époque vient la volonté de développer un marché central d'échange de marchandises ?,au début du XVIIe siècle
Combien de voûtes ont été bâties pour entreposer le vin ?,Vingt-et-un
Qui a mandaté un rapport a l’OCDE Concernant l’Anvar?,Gouvernement français
Sur quoi l’Anvar s’appuyait-il pour aider les PME?,un réseau étendu et bien structuré et de compétences reconnues
Quand la performance des aides a l’innovation a-t-elle été évaluée?,à la fin des années 1980
Quels types d’entreprise peuvent faire appel a BPIfrance?,petites et moyennes entreprises
Quel est l’ancien nom de BPI france?,ANVAR
A qui doit s’adresser une entreprise qui innove pour obtenir un  prêt à l’exportation?,bpifrance
Quel risque était pris en charge par le dispositif d’aide à l’innovation avant 2012?,risques Coface à l'exportation
